"",Name,Artist,Album,Popularity,Lyrics,Sentiment
619,As It Was,Harry Styles,As It Was,92,"208 contributorstranslationstürkçeespañolportuguês日本語italianoελληνικάdeutschfrançaisenglishenglishnederlandsshqippolski한국어a it wa lyric [ intro ] come on , harri , we wan na say goodnight to you [...",Feeling : Positive
171,As It Was,Harry Styles,Harry's House,92,"208 contributorstranslationstürkçeespañolportuguês日本語italianoελληνικάdeutschfrançaisenglishenglishnederlandsshqippolski한국어a it wa lyric [ intro ] come on , harri , we wan na say goodnight to you [...",Feeling : Positive
492,ICU,Coco Jones,What I Didn't Tell You,73,"21 contributorsicu lyric [ intro ] oh , ooh ( welcom to the camp ) oh , ooh oh , ooh mm , mm-mm-mm mm , yeah , yeah oh , ooh [ vers 1 ] somethin ' 'bout your hand on my bodi feel better than ani m...",Feeling : Positive
359,Last Night,Morgan Wallen,3 Songs At A Time Sampler,90,21 contributorstranslationsdeutschcatalàfrançaisespañollast night lyric [ choru ] last night we let the liquor talk i ca n't rememb everyth we said but we said it all you told me that you wish i w...,Feeling : Positive
186,Last Night,Morgan Wallen,One Thing At A Time,89,21 contributorstranslationsdeutschcatalàfrançaisespañollast night lyric [ choru ] last night we let the liquor talk i ca n't rememb everyth we said but we said it all you told me that you wish i w...,Feeling : Positive
424,Last Night,Morgan Wallen,3 Songs At A Time Sampler,63,21 contributorstranslationsdeutschcatalàfrançaisespañollast night lyric [ choru ] last night we let the liquor talk i ca n't rememb everyth we said but we said it all you told me that you wish i w...,Feeling : Positive
550,Last Night,Morgan Wallen,3 Songs At A Time Sampler,90,21 contributorstranslationsdeutschcatalàfrançaisespañollast night lyric [ choru ] last night we let the liquor talk i ca n't rememb everyth we said but we said it all you told me that you wish i w...,Feeling : Positive
505,Waffle House,Jonas Brothers,Waffle House,82,"21 contributorstranslationsenglishwaffl hous lyric [ intro : jon bellion ] ( come on ) [ vers 1 : joe jona , jon bellion ] ( hey now ) we never knew how to forfeit ( hey now ) but we alway knew ho...",Feeling : Positive
379,Waffle House,Jonas Brothers,Waffle House,82,"21 contributorstranslationsenglishwaffl hous lyric [ intro : jon bellion ] ( come on ) [ vers 1 : joe jona , jon bellion ] ( hey now ) we never knew how to forfeit ( hey now ) but we alway knew ho...",Feeling : Positive
556,Waffle House,Jonas Brothers,Waffle House,82,"21 contributorstranslationsenglishwaffl hous lyric [ intro : jon bellion ] ( come on ) [ vers 1 : joe jona , jon bellion ] ( hey now ) we never knew how to forfeit ( hey now ) but we alway knew ho...",Feeling : Positive
698,Do I Wanna Know?,Arctic Monkeys,Do I Wanna Know?,53,212 contributorstranslationsespañolfrançaisportuguêsdo i wan na know ? lyric [ vers 1 ] have you got colour in your cheek ? do you ever get that fear that you ca n't shift the tide that stick arou...,Feeling : Négative
784,Love Yourself,Justin Bieber,Purpose (Deluxe),85,212 contributorstranslationsespañolportuguêslov yourself lyric [ produc by benni blanco ] [ vers 1 ] for all the time that you rain on my parad and all the club you get in use my name you think yo...,Feeling : Positive
594,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,89,"216 contributorstranslationssvenskaespañolportuguêsdeutschnederlandssomeon you love lyric [ vers 1 ] i 'm go under , and thi time , i fear there 's no one to save me thi all or noth realli got a w...",Feeling : Positive
668,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,89,"216 contributorstranslationssvenskaespañolportuguêsdeutschnederlandssomeon you love lyric [ vers 1 ] i 'm go under , and thi time , i fear there 's no one to save me thi all or noth realli got a w...",Feeling : Positive
660,Blinding Lights,The Weeknd,Blinding Lights,19,218 contributorstranslationstürkçesvenskaespañolslovenčinaрусскийportuguêspolskinorsk ( bokmål / riksmål ) 日本語italianoíslenskahebrewdeutschfrançaisفارسیnederlandsdanskshqipไทย / phasa thaiblind li...,Feeling : Négative
753,Ain't Nobody (Loves Me Better),Felix Jaehn,Ain't Nobody (Loves Me Better),38,22 contributorsain ’ t nobodi ( love me better ) lyric [ produc by felix jaehn ] [ vers 1 : jasmin thompson ] captur effortlessli that 's the way it wa happen so natur i did not know it wa love th...,Feeling : Positive
357,Heart Wants What It Wants,Bebe Rexha,Heart Wants What It Wants,71,"22 contributorsheart want what it want lyric [ choru ] my heart onli want what it want what it want , what it want 'til it doe n't i ca n't promis you love , it wa love it wa love , it wa love 'ti...",Feeling : Négative
567,Who the Hell Is Edgar?,TEYA,Who the Hell Is Edgar?,78,"22 contributorstranslationsсрпскиfrançaiswho the hell is edgar ? lyric [ intro : salena , teya ] oh my god , you 're such a good writer oh , it 's not me , it 's edgar who the hell is edgar ? [ ve...",Feeling : Négative
225,Who the Hell Is Edgar?,TEYA,Who the Hell Is Edgar?,78,"22 contributorstranslationsсрпскиfrançaiswho the hell is edgar ? lyric [ intro : salena , teya ] oh my god , you 're such a good writer oh , it 's not me , it 's edgar who the hell is edgar ? [ ve...",Feeling : Négative
68,Walk on By,Dionne Warwick,The Dionne Warwick Collection: Her All-Time Greatest Hits,39,22 contributorswalk on by lyric [ vers 1 ] if you see me walkin ' down the street and i start to cri each time we meet walk on by walk on by [ pre-choru ] make believ that you do n't see the tear ...,Feeling : Positive
654,Save Your Tears,The Weeknd,After Hours,57,"224 contributorstranslationsрусскийtürkçeespañolportuguêspolskideutschfrançaisفارسیshqipsav your tear lyric [ intro ] ooh na-na , yeah [ vers 1 ] i saw you danc in a crowd room ( uh ) you look so ...",Feeling : Positive
295,Like Toy Soldiers,Eminem,Encore (Deluxe Version),70,"227 contributorslik toy soldier lyric [ intro ] step by step , heart to heart left , right , left , we all fall down ... [ choru ] step by step , heart to heart left , right , left , we all fall d...",Feeling : Négative
647,Mr. Brightside,The Killers,Mr Brightside (CD2 - E Release),34,"227 contributorsmr . brightsid lyric [ vers ] comin ' out of my cage and i 've been doin ' just fine got ta , got ta be down becaus i want it all it start out with a kiss , how did it end up like ...",Feeling : Négative
617,10:35,Tiësto,10:35,88,"23 contributors10:35 lyric [ intro ] all i know it 's 10:35 and i can feel your arm around me let ’ em drown me all i know it 's 10:35 and i 'm thankin ’ , thankin ' god you found me that you foun...",Feeling : Négative
736,Real Love,Clean Bandit,Real Love,54,"23 contributorsr love lyric [ vers 1 : jess glynn ] oh , you 've got the feel that i wan na feel oh , you 've got the feel that i know is real , real , real [ pre-choru : jess glynn ] it 's in the...",Feeling : Positive
667,Remember,Becky Hill,Remember,79,"23 contributorstranslationsespañoldeutschrememb lyric [ vers 1 ] i 'm do just fine , now it 's over i 've been move on and live my life but occasion i lose composur and i ca n't get you out of my ...",Feeling : Positive
121,You're Makin' Me High,Toni Braxton,Secrets,62,23 contributorsy ’ re makin ’ me high lyric [ vers 1 ] i 'll alway think of you insid of my privat thought i can imagin you touch my privat part and just the thought of you i ca n't help but touch...,Feeling : Négative
569,Die For You,The Weeknd,Starboy,87,230 contributorstranslationsportuguêsفارسیtürkçeespañoldeutschdi for you lyric [ vers 1 ] i 'm findin ' way to articul the feelin ' i 'm goin ' through i just ca n't say i do n't love you ( yeah )...,Feeling : Négative
187,Die For You,The Weeknd,Starboy,91,230 contributorstranslationsportuguêsفارسیtürkçeespañoldeutschdi for you lyric [ vers 1 ] i 'm findin ' way to articul the feelin ' i 'm goin ' through i just ca n't say i do n't love you ( yeah )...,Feeling : Négative
748,Blank Space,Taylor Swift,1989 (Deluxe),88,"239 contributorstranslationstürkçeespañolportuguêspolskiελληνικάfrançaisblank space lyric [ vers 1 ] nice to meet you , where you been ? i could show you incred thing magic , mad , heaven , sin sa...",Feeling : Positive
658,House On Fire,Mimi Webb,House On Fire,69,"24 contributorshous on fire lyric [ intro ] ( you liar , now i'ma set your hous on fire ) [ vers 1 ] i made friend with the head of polic to make sure he ’ d suspect me the least if i 'm caught i ...",Feeling : Négative
208,People,Libianca,People,92,"24 contributorspeopl lyric [ intro : libianca ] oh-oh-oh-oh mhmm , mhmm from bamenda , it 's libianca oh-oh ( a-yo , mage , you made a bang ) [ refrain : libianca ] i 've been drink more alcohol f...",Feeling : Négative
513,People,Libianca,People,92,"24 contributorspeopl lyric [ intro : libianca ] oh-oh-oh-oh mhmm , mhmm from bamenda , it 's libianca oh-oh ( a-yo , mage , you made a bang ) [ refrain : libianca ] i 've been drink more alcohol f...",Feeling : Négative
338,People,Libianca,People,92,"24 contributorspeopl lyric [ intro : libianca ] oh-oh-oh-oh mhmm , mhmm from bamenda , it 's libianca oh-oh ( a-yo , mage , you made a bang ) [ refrain : libianca ] i 've been drink more alcohol f...",Feeling : Négative
538,People,Libianca,People,30,"24 contributorspeopl lyric [ intro : libianca ] oh-oh-oh-oh mhmm , mhmm from bamenda , it 's libianca oh-oh ( a-yo , mage , you made a bang ) [ refrain : libianca ] i 've been drink more alcohol f...",Feeling : Négative
729,Sax,Fleur East,Sax,50,"24 contributorstranslationsportuguêssax lyric [ intro ] give it to me give it to me [ vers 1 ] i met a boy last week tryna run that game made it sound so sweet when he say my name i said boy , sto...",Feeling : Positive
35,Billie Jean,Michael Jackson,Thriller,80,"243 contributorstranslationsespañolportuguêshebrewenglishbilli jean lyric [ vers 1 ] she wa more like a beauti queen from a movi scene i said , `` do n't mind , but what do you mean , i am the one...",Feeling : Positive
739,Five More Hours,Deorro,Five More Hours,68,"25 contributorsf more hour lyric [ vers 1 ] what you wan na do , babi ? where you wan na go ? i 'll take you to the moon , babi , i 'll take you to the floor i 'll treat you like a real ladi , no ...",Feeling : Positive
305,White America,Eminem,The Eminem Show,69,"250 contributorstranslationstürkçeitalianoहिन्दीwhit america lyric [ intro ] america ! ha ha ha ! we love you how mani peopl are proud to be citizen of thi beauti countri of our , the stripe and t...",Feeling : Positive
315,Role Model,Eminem,The Slim Shady LP,67,"253 contributorstranslationspolskitürkçeportuguêsrol model lyric [ intro ] okay , i 'm go to attempt to drown myself you can tri thi at home you can be just like me mic check , one-two , we record...",Feeling : Négative
287,Mockingbird,Eminem,Encore (Deluxe Version),92,257 contributorstranslationstürkçeportuguêsitalianodeutschfrançaisالعربيةmockingbird lyric [ intro ] yeah i know sometim thing may not alway make sens to you right now but hey what daddi alway tel...,Feeling : Positive
212,Mockingbird,Eminem,Encore (Deluxe Version),92,257 contributorstranslationstürkçeportuguêsitalianodeutschfrançaisالعربيةmockingbird lyric [ intro ] yeah i know sometim thing may not alway make sens to you right now but hey what daddi alway tel...,Feeling : Positive
226,Area Codes,Kali,Area Codes,85,"26 contributorsarea code lyric [ intro ] yeah , yeah ( 28shit ) kali you know i love me a motherfuckin ' trick ( yeah ) [ vers 1 ] got a white boy on my roster he be feed me pasta and lobster he j...",Feeling : Positive
585,Area Codes,Kali,Area Codes,85,"26 contributorsarea code lyric [ intro ] yeah , yeah ( 28shit ) kali you know i love me a motherfuckin ' trick ( yeah ) [ vers 1 ] got a white boy on my roster he be feed me pasta and lobster he j...",Feeling : Positive
480,Area Codes,Kali,Area Codes (Sped Up Version),39,"26 contributorsarea code lyric [ intro ] yeah , yeah ( 28shit ) kali you know i love me a motherfuckin ' trick ( yeah ) [ vers 1 ] got a white boy on my roster he be feed me pasta and lobster he j...",Feeling : Positive
116,"No Woman, No Cry",Fugees,The Score (Expanded Edition),64,"26 contributorsno woman , no cri lyric [ intro ] a dedic to all the refuge worldwid one time [ vers 1 ] say , say , say i rememb when we use to sit in the govern yard in brooklyn oba-observ the cr...",Feeling : Positive
109,2 Become 1,Spice Girls,Spice,68,"27 contributors2 becom 1 lyric [ vers 1 : sporti , scari ] candl light and soul forev a dream of you and me togeth say you believ it , say you believ it free your mind of doubt and danger be for r...",Feeling : Positive
760,Easy Love,Sigala,Easy Love,33,"27 contributorseasi love lyric [ intro ] come on now ! [ vers 1 ] sit down girl ! i think i love ya ! and all i want you to do is repeat after me say a , say b , say c , oh i think she 's got it [...",Feeling : Positive
38,If You Leave Me Now,Chicago,Chicago X,77,"27 contributorsif you leav me now lyric [ vers 1 : peter cetera ] if you leav me now you 'll take away the biggest part of me ooh no , babi , pleas do n't go [ vers 2 : peter cetera ] and if you l...",Feeling : Positive
621,Peru,Fireboy DML,Peru,64,27 contributorsperu lyric [ intro ] eh eh eh yeahh yeah chee [ vers 1 ] omog no be so girl you won captur my soul omog no be so make we won wombolobo [ choru ] peru para peru peru para i ’ m loooo...,Feeling : Positive
69,Louie Louie,The Kingsmen,The Best of The Kingsmen,67,"28 contributorsloui louie lyric [ intro chord ] louie louie , oh no , you take me where ya got ta go yeah , yeah , yeah , yeah , yeah , babi louie louie , oh babi , take me where ya got ta go a fi...",Feeling : Positive
33,"Oh, Pretty Woman",Roy Orbison,The Essential Roy Orbison,65,"28 contributorsoh , pretti woman lyric [ instrument intro ] [ vers 1 ] pretti woman , walk down the street pretti woman , the kind i 'd like to meet pretti woman , i do n't believ you you 're not ...",Feeling : Positive
496,BESO,ROSALÍA,RR,96,28 contributorstranslationsportuguêsenglishdeutschbeso lyric [ letra de `` beso '' ] [ coro : rosalía ] ya yo necesito otro beso uno de eso que tú me da ' estar lejo de ti e ' el infierno estar ce...,Feeling : Positive
176,BESO,ROSALÍA,RR,96,28 contributorstranslationsportuguêsenglishdeutschbeso lyric [ letra de `` beso '' ] [ coro : rosalía ] ya yo necesito otro beso uno de eso que tú me da ' estar lejo de ti e ' el infierno estar ce...,Feeling : Positive
479,Daylight,David Kushner,Daylight,97,"28 contributorstranslations日本語deutschportuguêsfrançaismagyardaylight lyric [ vers 1 ] tell myself i wo n't go there oh , but i know that i wo n't care tryna wash away all the blood i 've spilt thi...",Feeling : Négative
325,Daylight,David Kushner,Daylight,97,"28 contributorstranslations日本語deutschportuguêsfrançaismagyardaylight lyric [ vers 1 ] tell myself i wo n't go there oh , but i know that i wo n't care tryna wash away all the blood i 've spilt thi...",Feeling : Négative
219,Daylight,David Kushner,Daylight,97,"28 contributorstranslations日本語deutschportuguêsfrançaismagyardaylight lyric [ vers 1 ] tell myself i wo n't go there oh , but i know that i wo n't care tryna wash away all the blood i 've spilt thi...",Feeling : Négative
169,Daylight,David Kushner,Daylight,97,"28 contributorstranslations日本語deutschportuguêsfrançaismagyardaylight lyric [ vers 1 ] tell myself i wo n't go there oh , but i know that i wo n't care tryna wash away all the blood i 've spilt thi...",Feeling : Négative
523,Daylight,David Kushner,Daylight,97,"28 contributorstranslations日本語deutschportuguêsfrançaismagyardaylight lyric [ vers 1 ] tell myself i wo n't go there oh , but i know that i wo n't care tryna wash away all the blood i 've spilt thi...",Feeling : Négative
271,The Way I Am,Eminem,The Marshall Mathers LP,76,"284 contributorstranslationsenglishenglishрусскийth way i am lyric [ segu from `` steve berman ( skit ) '' ] ... man , whatev [ intro ] dre , just let it run ayo , turn the beat up a littl bit ayo...",Feeling : Négative
288,When I'm Gone,Eminem,When I'm Gone,65,"287 contributorstranslationsitalianotürkçeportuguêsdeutschazərbaycanca / آذربايجانwhen i ’ m gone lyric [ intro ] yeah , it 's my life in my own word , i guess [ vers 1 ] have you ever love someon...",Feeling : Positive
683,Happier Than Ever,Billie Eilish,Happier Than Ever,51,289 contributorstranslationsрусскийtürkçeespañolрусскийportuguêsnorsk ( bokmål / riksmål ) 日本語italianodeutschfrançaisفارسیhappi than ever lyric [ choru ] when i 'm away from you i 'm happier than ...,Feeling : Négative
127,Fire Water Burn,Bloodhound Gang,One Fierce Beer Coaster,61,"29 contributorsfir water burn lyric [ choru ] the roof , the roof , the roof is on fire the roof , the roof , the roof is on fire the roof , the roof , the roof is on fire we do n't need no water ...",Feeling : Positive
97,Un-Break My Heart,Toni Braxton,Secrets,70,29 contributorstranslationsespañolun-break my heart lyric [ vers 1 ] do n't leav me in all thi pain do n't leav me out in the rain come back and bring back my smile come and take these tear away i...,Feeling : Positive
527,Calm Down,Rema,Calm Down,83,"29 contributorstranslationsportuguêscalm down lyric [ intro ] ( vibez ) anoth banger [ choru ] babi , calm down , calm down girl , thi your bodi e put in my heart for lockdown , for lockdown , oh ...",Feeling : Positive
16,Smells Like Teen Spirit,Nirvana,Nevermind (Deluxe Edition),7,"294 contributorstranslationsрусскийtürkçeespañolportuguêsitalianohebrewfrançaissmel like teen spirit lyric [ vers 1 ] load up on gun , bring your friend it 's fun to lose and to pretend she 's ove...",Feeling : Positive
269,Cleanin' Out My Closet,Eminem,The Eminem Show,76,"298 contributorstranslationsportuguês日本語italianoहिन्दीenglishchines traditionalcleanin ’ out my closet lyric [ intro ] where 's my snare ? i have no snare in my headphon there you go yeah yo , yo ...",Feeling : Négative
372,Live Without Love,Shouse,Live Without Love,74,"3 contributorsl without love lyric [ intro ] ooh , ooh ooh , ooh ah , ah ah , ah [ vers 1 ] and if you 're feel like there 's no one els if you search around to find yourself say `` i do n't wan n...",Feeling : Négative
756,Like I Can - Radio Mix,Sam Smith,Like I Can,38,"3 contributorslik i can ( radio mix ) lyricsh could be a sinner , or a gentleman he could be your preacher , when your soul is down he could be your lawyer on a wit stand but he 'll never love you...",Feeling : Négative
603,Make Me,Borai & Denham Audio,Make Me,70,"3 contributorsmak me lyric [ choru ] babi , i do n't know what i should do you should make me feel like lovin ' you babi , i do n't know what i should do you should make me feel like lovin ' you b...",Feeling : Positive
354,Never Look Back,Tom Gregory,Never Look Back,64,"3 contributorsnev look back lyric [ choru ] should we let our heart break while we wait for the moment and hold on till we see where it 's goin ' ? god know you and i could be golden no , we 'll n...",Feeling : Positive
464,Por las Noches,Peso Pluma,Por las Noches,93,3 contributorspor la noch lyric [ letra de `` por la noch '' ] cuando por la noch recordaba todo el olor de aquel perfum sobr todo la sábana blanca dond te escondía dentro ere intoc como joya de o...,Feeling : Négative
199,Por las Noches,Peso Pluma,Por las Noches,93,3 contributorspor la noch lyric [ letra de `` por la noch '' ] cuando por la noch recordaba todo el olor de aquel perfum sobr todo la sábana blanca dond te escondía dentro ere intoc como joya de o...,Feeling : Négative
491,Religiously,Bailey Zimmerman,Religiously,78,"3 contributorsreligi lyric [ vers 1 ] i went lookin ' at pictur i did n't wan na see they brought back memori you look happi , i guess , got the life that you want but it ai n't with me you would ...",Feeling : Négative
347,Somethin' Bout You,Mickey Guyton,Somethin' Bout You,64,"3 contributorssomethin ’ bout you lyric [ vers 1 ] it 's hard to put a finger on exactli what you do but you got me in my feel , and that ai n't someth i 'm use to i do n't mind , i kinda like it ...",Feeling : Positive
82,California Love - Original Version,2Pac,Greatest Hits,82,3 contributorsthi is 2pac lyrics1 . 2pac- ambitionz az a ridah 2 . 2pac- chang ( feat . talent ) 3 . 2pac- dear mama 4 . 2pac- do for love 5 . 2pac- all eyez on me ( feat . big syke ) 6 . 2pac- i ...,Feeling : Négative
589,TMO (Turn Me On) [feat. Kevin Lyttle],Luude,TMO (Turn Me On) [feat. Kevin Lyttle],56,"3 contributorstmo ( turn me on ) lyric [ intro : kevin lyttl ] oh yeah yeah , ye style up from luud , 'longsid kevin lyttl and bru-c you know how we roll , we go [ vers 1 : kevin lyttl ] for the l...",Feeling : Positive
774,Up (feat. Demi Lovato) - Wideboys Radio Mix,Olly Murs,Up (feat. Demi Lovato),0,3 contributorsup ( wideboy radio mix ) lyric [ vers 1 : olli mur ] i drew a broken heart right on your window pane wait for your repli here in the pour rain just breath against the glass leav me s...,Feeling : Positive
160,We've Got It Goin' On - Radio Edit,Backstreet Boys,Backstreet Boys,50,"3 contributorsw ’ ve got it goin ’ on - radio edit lyricseverybodi groov to the music everybodi jam , we 've been wait so long just ca n't hold it back no more creepin ' up and down now it 's time...",Feeling : Positive
781,Wish You Were Mine - Radio Edit,Philip George,Wish You Were Mine,67,"3 contributorswish you were mine - radio edit lyricsoh cheri amour , pretti littl one that i ador you 're the onli girl my heart beat for you 're the onli girl my heart beat for how i wish that yo...",Feeling : Positive
391,Your Heart Or Mine,Jon Pardi,Mr. Saturday Night,76,"3 contributorsyour heart or mine lyric [ vers 1 ] all it take is a downtown bar all it take is some neon star a littl you , a littl me in the same vicin and it 's on everyon is the first last time...",Feeling : Positive
771,Don't Be so Hard on Yourself,Jess Glynne,I Cry When I Laugh,61,30 contributorsdon ’ t be so hard on yourself lyric [ vers 1 ] i came here with a broken heart that no one els could see i drew a smile on my face to paper over me but wound heal when tear dri and...,Feeling : Négative
10,In the Ghetto,Elvis Presley,Elvis 30 #1 Hits,52,30 contributorsin the ghetto lyric [ vers 1 ] as the snow fli on a cold and gray chicago mornin ' a poor littl babi child is born in the ghetto ( in the ghetto ) and hi mama cri 'caus if there 's ...,Feeling : Négative
134,Novocaine For The Soul,Eels,Beautiful Freak,58,30 contributorsnovocain for the soul lyric [ vers 1 ] life is hard and so am i you 'd better give me someth so i do n't die [ choru 1 ] novocain for the soul befor i sputter out befor i sputter ou...,Feeling : Positive
398,SNAP,Rosa Linn,SNAP,90,"30 contributorstranslationsespañolportuguêstürkçefrançaissnap lyric [ vers 1 ] it 's 4 am i ca n't turn my head off wish these memori would fade , they never do turn out peopl lie they said , `` j...",Feeling : Positive
115,If It Makes You Happy,Sheryl Crow,Sheryl Crow,64,"31 contributorsif it make you happi lyric [ vers 1 ] i 've been long , a long way from here put on a poncho , play for mosquito and drank 'til i wa thirsti again we went searchin ' through thrift ...",Feeling : Négative
549,Can't Tame Her,Zara Larsson,Can't Tame Her,82,"31 contributorstranslationsفارسیespañolcan ’ t tame her lyric [ vers 1 ] do n't need no one , she can danc on her own club is closin ' , but she ai n't goin ' home night is still young , where the...",Feeling : Positive
769,Hotline Bling,Drake,Views,52,"313 contributorstranslationstürkçeespañolportuguêsfrançaishotlin bling lyric [ intro ] you use to call me on my you use to , you use to yeah [ choru ] you use to call me on my cell phone late-nigh...",Feeling : Positive
665,Perfect,Ed Sheeran,÷ (Deluxe),90,"319 contributorstranslationstürkçeespañolportuguêsitalianoελληνικάdeutschfrançaisفارسیperfect lyric [ vers 1 ] i found a love for me oh , darlin ' , just dive right in and follow my lead well , i ...",Feeling : Positive
30,Be My Baby,The Ronettes,Be My Baby: The Very Best of The Ronettes,70,32 contributorsb my babi lyric [ drum intro ] [ vers 1 ] the night we met i knew i need you so and if i had the chanc i 'd never let you go so wo n't you say you love me ? i 'll make you so proud ...,Feeling : Positive
726,Heartbeat Song,Kelly Clarkson,Piece By Piece (Deluxe Version),53,"32 contributorsheartbeat song lyric [ intro ] thi is my heartbeat song and i 'm gon na play it been so long , i forgot how to turn it up , up , up , up all night long oh , up , up all night long [...",Feeling : Positive
755,Runnin' (Lose It All),Naughty Boy,Runnin' (Lose It All),69,"32 contributorsrunnin ’ ( lose it all ) lyric [ vers 1 : beyoncé ] these four lone wall have chang the way i feel the way i feel , i 'm stand still and noth els matter now , you 're not here so wh...",Feeling : Négative
586,Never Felt So Alone,Labrinth,Never Felt So Alone,89,"32 contributorstranslationsenglishnev felt so alon lyric [ intro : labrinth ] oh-oh , oh-oh oh-oh , oh-oh [ choru : labrinth , labrinth & billi eilish ] and i never felt so alon , felt so alon , n...",Feeling : Positive
514,Never Felt So Alone,Labrinth,Never Felt So Alone,89,"32 contributorstranslationsenglishnev felt so alon lyric [ intro : labrinth ] oh-oh , oh-oh oh-oh , oh-oh [ choru : labrinth , labrinth & billi eilish ] and i never felt so alon , felt so alon , n...",Feeling : Positive
150,Firestarter,The Prodigy,The Fat of the Land,53,"33 contributorsfirestart lyric [ intro ] hey , hey , hey [ vers 1 ] i 'm the troubl starter , punkin ' instig i 'm the fear addict , the danger illustr hey , hey , hey i 'm a fire starter , twist ...",Feeling : Négative
367,Hell N Back,Bakar,Hell N Back,85,"33 contributorshel n back lyric [ choru ] could you tell where my head wa at when you found me ? me and you went to hell and back just to find peac man , i thought i had everyth , i wa lone now yo...",Feeling : Négative
544,Hell N Back,Bakar,Hell N Back,85,"33 contributorshel n back lyric [ choru ] could you tell where my head wa at when you found me ? me and you went to hell and back just to find peac man , i thought i had everyth , i wa lone now yo...",Feeling : Négative
194,Here With Me,d4vd,Here With Me,94,"33 contributorstranslationstürkçeher with me lyric [ vers 1 ] watch the sunris along the coast as we 're both get old i ca n't describ what i 'm feel and all i know is we 're go home so , pleas do...",Feeling : Positive
682,Shape of You,Ed Sheeran,÷ (Deluxe),88,338 contributorstranslationstürkçeespañolportuguêsελληνικάdeutschfrançaisshap of you lyric [ vers 1 ] a club is n't the best place to find a lover so the bar is where i go ( mm ) me and my friend ...,Feeling : Positive
797,Take Me To Church,Hozier,The Singer Songwriter,25,339 contributorstranslationsفارسیespañolfrançaisdeutschtak me to church lyric [ produc by hozier and rob kirwan ] [ video direct by brendan canti and conal thomson ] [ vers 1 ] my lover 's got hum...,Feeling : Positive
484,Go Hard,Lil Baby,Go Hard,49,"34 contributorsgo hard lyric [ choru ] i 'm back goin ' hard again , i 'm shuttin ' down my heart again no one can get next to me , so they got ta put order in tri my best to act like i did n't ca...",Feeling : Positive
200,Moonlight,Kali Uchis,Red Moon In Venus,87,"34 contributorstranslationsespañolportuguêsmoonlight lyric [ choru ] i just wan na get high with my lover veo una muñeca cuando miro en el espejo kiss , kiss , look dolli , i think i may go out to...",Feeling : Positive
507,Moonlight,Kali Uchis,Moonlight,88,"34 contributorstranslationsespañolportuguêsmoonlight lyric [ choru ] i just wan na get high with my lover veo una muñeca cuando miro en el espejo kiss , kiss , look dolli , i think i may go out to...",Feeling : Positive
344,ceilings,Lizzy McAlpine,five seconds flat,90,"34 contributorstranslationsespañol​ceil lyric [ vers 1 ] ceil , plaster ca n't you just make it move faster ? love to be sit here with you you 're kinda cute but it 's rain harder my shoe are now ...",Feeling : Positive
511,ceilings,Lizzy McAlpine,five seconds flat,90,"34 contributorstranslationsespañol​ceil lyric [ vers 1 ] ceil , plaster ca n't you just make it move faster ? love to be sit here with you you 're kinda cute but it 's rain harder my shoe are now ...",Feeling : Positive
576,ceilings,Lizzy McAlpine,five seconds flat,90,"34 contributorstranslationsespañol​ceil lyric [ vers 1 ] ceil , plaster ca n't you just make it move faster ? love to be sit here with you you 're kinda cute but it 's rain harder my shoe are now ...",Feeling : Positive
561,Heaven,Niall Horan,Heaven,86,34 contributorstranslationsportuguêstürkçeheaven lyric [ vers 1 ] strang light revolv around you you float across the room your touch is made of someth heaven ca n't hold a candl to you 're made o...,Feeling : Positive
350,Heaven,Niall Horan,Heaven,86,34 contributorstranslationsportuguêstürkçeheaven lyric [ vers 1 ] strang light revolv around you you float across the room your touch is made of someth heaven ca n't hold a candl to you 're made o...,Feeling : Positive
270,Not Afraid,Eminem,Recovery,82,348 contributorstranslationsportuguêsitalianoελληνικάfrançaisnot afraid lyric [ choru ] i 'm not afraid ( i 'm not afraid ) yeah to take a stand ( to take a stand ) it 's been a ride everybodi ( e...,Feeling : Positive
783,The Hills,The Weeknd,Beauty Behind The Madness,88,"349 contributorstranslationstürkçeespañolрусскийportuguêsfrançaisفارسیpolskiportuguêsdeutschitalianoth hill lyric [ intro ] yeah yeah yeah [ vers 1 ] your man on the road , he doin ' promo you sai...",Feeling : Négative
583,I Ain't Worried,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",93,"35 contributorsi ain ’ t worri lyric [ vers 1 ] i do n't know what you 've been told but time is run out , no need to take it slow i 'm step to you toe-to-to i should be scare , honey , mayb so [ ...",Feeling : Positive
638,I Ain't Worried,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",93,"35 contributorsi ain ’ t worri lyric [ vers 1 ] i do n't know what you 've been told but time is run out , no need to take it slow i 'm step to you toe-to-to i should be scare , honey , mayb so [ ...",Feeling : Positive
205,I Ain't Worried,OneRepublic,OneRepublic (Japan Paradise Tour Edition),55,"35 contributorsi ain ’ t worri lyric [ vers 1 ] i do n't know what you 've been told but time is run out , no need to take it slow i 'm step to you toe-to-to i should be scare , honey , mayb so [ ...",Feeling : Positive
